,label,ndvi,fdi
33,timber,0.32333844682816626,0.06800614589809517
34,timber,0.3189794394814852,0.06945694996033018
35,timber,0.3301495244061913,0.0693062213142575
36,timber,0.33472365376522406,0.07187312954386357
37,timber,0.39929731176240213,0.0749877217428138
38,timber,0.40709595867835136,0.0761788435054663
39,timber,0.36987236030371706,0.08082953036603277
40,timber,0.35761320995230017,0.08350011830802247
41,timber,0.34437241335279123,0.08276280273809584
42,timber,0.3695041807282571,0.08350826021922043
43,timber,0.3012632018990651,0.08768796597350145
44,timber,0.33849569450998096,0.09002146219752877
45,timber,0.34555127424317167,0.09272204923989871
46,timber,0.36542555561694656,0.09279763601093098
47,timber,0.3747801829920223,0.08964484830224405
